step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
710,420701.93,30431.0,0.0,366268.53,786970.46,0,0,0,0,1,0
710,60937.96,123.0,0.0,0.0,60937.96,0,1,0,0,0,0
710,112036.47,35390.0,147426.47,1855944.86,1743908.39,1,0,0,0,0,0
710,438113.85,80169.0,0.0,2407241.78,2845355.63,0,1,0,0,0,0
710,3133.57,10150.0,7016.43,0.0,0.0,0,0,0,1,0,0
710,5766.01,380.0,0.0,0.0,0.0,0,0,0,1,0,0
710,17474.74,6274.0,0.0,0.0,0.0,0,0,0,1,0,0
710,347921.82,10464.0,0.0,1450834.28,1798756.1,0,1,0,0,0,0
710,522293.64,31446.0,0.0,0.0,522293.64,0,0,0,0,1,0
710,32503.93,11250.0,0.0,0.0,0.0,0,0,0,1,0,0
710,103832.04,20192.0,124024.04,0.0,0.0,1,0,0,0,0,0
710,56080.45,11816.0,0.0,0.0,56080.45,0,1,0,0,0,0
710,174248.35,30058.0,0.0,0.0,174248.35,0,1,0,0,0,0
710,109828.36,19899.0,129727.36,0.0,0.0,1,0,0,0,0,0
710,340621.93,54494.0,0.0,92728.8,433350.73,0,1,0,0,0,0
710,238840.6,6455.0,0.0,681830.77,920671.36,0,1,0,0,0,0
710,174520.59,105613.0,0.0,297516.4,472036.99,0,1,0,0,0,0
710,40052.33,14609.0,0.0,0.0,0.0,0,0,0,1,0,0
710,82487.49,333023.0,250535.51,1842247.3,1924734.79,0,1,0,0,0,0
710,39452.34,29130.0,0.0,1713515.22,1752967.56,0,1,0,0,0,0
710,25805.82,10758.0,0.0,767676.12,793481.93,0,0,0,0,1,0
710,7181.0,41405.0,34224.0,0.0,0.0,0,0,0,1,0,0
710,72217.94,2401.0,0.0,1222660.24,1294878.18,0,1,0,0,0,0
710,116218.16,363262.0,479480.16,0.0,0.0,1,0,0,0,0,0
710,66482.48,16613.0,0.0,0.0,66482.48,0,1,0,0,0,0
710,213391.24,456196.0,242804.76,0.0,213391.24,0,1,0,0,0,0
710,208460.27,19326.0,0.0,0.0,208460.27,0,1,0,0,0,0
710,404378.34,50512.0,0.0,0.0,404378.34,0,1,0,0,0,0
