step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
95,53062.52,53062.52,0.0,0.0,0.0,0,0,0,0,1,1
406,4737833.35,4737833.35,0.0,0.0,0.0,0,0,0,0,1,1
230,2326251.51,2326251.51,0.0,0.0,0.0,0,0,0,0,1,1
149,661558.27,661558.27,0.0,3050611.21,3712169.48,0,1,0,0,0,1
441,739856.92,739856.92,0.0,0.0,739856.92,0,1,0,0,0,1
429,837192.23,837192.23,0.0,0.0,837192.23,0,1,0,0,0,1
517,555328.55,555328.55,0.0,0.0,555328.55,0,1,0,0,0,1
276,321465.0,321465.0,0.0,0.0,0.0,0,0,0,0,1,1
170,7246962.16,7246962.16,0.0,1394594.82,8641556.98,0,1,0,0,0,1
292,38513.19,38513.19,0.0,90999.78,129512.97,0,1,0,0,0,1
274,529659.95,529659.95,0.0,0.0,0.0,0,0,0,0,1,1
691,1518718.03,1518718.03,0.0,0.0,0.0,0,0,0,0,1,1
22,74804.24,74804.24,0.0,0.0,74804.24,0,1,0,0,0,1
105,2988103.3,2988103.3,0.0,0.0,0.0,0,0,0,0,1,1
663,803441.31,803441.31,0.0,1006726.81,1810168.11,0,1,0,0,0,1
587,1249721.72,1249721.72,0.0,0.0,0.0,0,0,0,0,1,1
317,487276.8,487276.8,0.0,0.0,0.0,0,0,0,0,1,1
512,684266.09,684266.09,0.0,0.0,0.0,0,0,0,0,1,1
273,3738574.9,3738574.9,0.0,0.0,0.0,0,0,0,0,1,1
29,268641.82,268641.82,0.0,0.0,0.0,0,0,0,0,1,1
657,41428.9,41428.9,0.0,0.0,0.0,0,0,0,0,1,1
48,561374.78,561374.78,0.0,0.0,0.0,0,0,0,0,1,1
41,581889.94,581889.94,0.0,0.0,0.0,0,0,0,0,1,1
554,1025082.07,1025082.07,0.0,0.0,0.0,0,0,0,0,1,1
12,1041647.06,1041647.06,0.0,52730.33,1094377.39,0,1,0,0,0,1
251,82112.74,82112.74,0.0,0.0,0.0,0,0,0,0,1,1
575,1489916.19,1489916.19,0.0,3239862.61,4729778.79,0,1,0,0,0,1
440,10000000.0,10000000.0,0.0,285336.96,10285336.96,0,1,0,0,0,1
696,343972.5,343972.5,0.0,0.0,0.0,0,0,0,0,1,1
498,207261.07,207261.07,0.0,48221.7,255482.77,0,1,0,0,0,1
486,143500.62,143500.62,0.0,0.0,0.0,0,0,0,0,1,1
625,2654302.46,2654302.46,0.0,0.0,0.0,0,0,0,0,1,1
605,251118.04,251118.04,0.0,0.0,251118.04,0,1,0,0,0,1
401,5838803.23,5838803.23,0.0,0.0,0.0,0,0,0,0,1,1
583,2149658.47,2149658.47,0.0,0.0,2149658.47,0,1,0,0,0,1
362,7677120.59,7677120.59,0.0,0.0,0.0,0,0,0,0,1,1
454,404185.57,404185.57,0.0,0.0,0.0,0,0,0,0,1,1
